City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,daru,-9.0763,143.2092,28.81,73,98,2.74,PG,2023-01-24 05:53:04
348,luena,-11.7833,19.9167,17.72,86,100,2.75,AO,2023-01-24 05:53:04
349,mazamari,-11.3258,-74.5308,19.73,96,96,1.02,PE,2023-01-24 05:53:04
350,tembisa,-25.9964,28.2268,21.7,75,0,3.08,ZA,2023-01-24 05:47:45
351,viedma,-40.8135,-62.9967,28.44,31,34,9.7,AR,2023-01-24 05:50:37
352,meulaboh,4.1363,96.1285,28.6,69,89,2.57,ID,2023-01-24 05:53:05
353,vanimo,-2.6741,141.3028,24.44,94,100,1.62,PG,2023-01-24 05:53:05
354,college,64.8569,-147.8028,-20.79,79,100,0.0,US,2023-01-24 05:53:05
355,kushmurun,52.4503,64.6311,-17.34,98,87,1.06,KZ,2023-01-24 05:53:06
356,carlisle,40.2015,-77.1889,3.04,68,91,0.89,US,2023-01-24 05:53:06
357,sur,22.5667,59.5289,20.6,41,83,4.73,OM,2023-01-24 05:53:06
358,toumodi,6.5613,-5.0158,22.42,90,60,1.54,CI,2023-01-24 05:53:07
359,ailigandi,9.2333,-78.0167,25.75,86,95,3.26,PA,2023-01-24 05:53:07
360,berberati,4.2612,15.7922,21.03,32,100,0.87,CF,2023-01-24 05:53:07
361,novyy urengoy,66.0833,76.6333,-30.18,97,93,4.01,RU,2023-01-24 05:53:07
362,chifeng,42.2683,118.9636,-13.47,22,0,6.01,CN,2023-01-24 05:53:08
363,jinchang,38.4953,102.1739,-5.93,14,43,2.21,CN,2023-01-24 05:53:08
364,saint anthony,45.0205,-93.218,-0.04,80,100,3.6,US,2023-01-24 05:53:08
365,qarqin,37.4185,66.0436,-0.01,60,100,1.74,AF,2023-01-24 05:53:09
366,balaipungut,1.05,101.2833,23.69,93,100,1.16,ID,2023-01-24 05:53:09
367,vagur,61.4732,-6.8119,8.4,95,100,13.07,FO,2023-01-24 05:53:09
368,emmett,43.8735,-116.4993,-2.91,90,21,2.23,US,2023-01-24 05:53:10
369,severomuysk,56.1481,113.4267,-27.2,75,12,1.51,RU,2023-01-24 05:53:10
370,chimbote,-9.0853,-78.5783,20.4,81,98,2.15,PE,2023-01-24 05:53:10
371,lorengau,-2.0226,147.2712,27.3,79,100,1.07,PG,2023-01-24 05:53:11
372,berlevag,70.8578,29.0864,1.0,93,88,17.49,NO,2023-01-24 05:53:11
373,beloha,-25.1667,45.05,28.42,59,100,9.07,MG,2023-01-24 05:53:11
374,jipapad,12.2861,125.2353,27.41,74,70,4.43,PH,2023-01-24 05:53:11
375,talara,-4.5772,-81.2719,21.89,79,88,3.7,PE,2023-01-24 05:53:12
376,brokopondo,4.75,-55.1667,22.29,91,18,3.82,SR,2023-01-24 05:53:12
377,yantal,56.8471,105.2542,-19.69,88,100,1.71,RU,2023-01-24 05:53:12
378,nogliki,51.8333,143.1667,-26.38,91,83,6.56,RU,2023-01-24 05:53:13
379,natal,-5.795,-35.2094,26.36,78,75,3.6,BR,2023-01-24 05:52:12
380,fairbanks,64.8378,-147.7164,-20.78,79,100,0.0,US,2023-01-24 05:53:13
381,taoudenni,22.6783,-3.9836,15.16,26,1,3.47,ML,2023-01-24 05:53:13
382,warrnambool,-38.3833,142.4833,19.78,75,47,6.19,AU,2023-01-24 05:49:01
383,buluang,13.3068,123.3425,29.39,59,43,3.7,PH,2023-01-24 05:53:14
384,erenhot,43.6475,111.9767,-17.35,48,0,6.88,CN,2023-01-24 05:53:14
385,maragogi,-9.0122,-35.2225,25.01,78,16,3.15,BR,2023-01-24 05:53:14
386,evensk,61.95,159.2333,-13.51,67,100,11.39,RU,2023-01-24 05:53:15
387,kashiwazaki,37.3667,138.55,-0.49,93,98,9.55,JP,2023-01-24 05:53:15
388,qaqortoq,60.7167,-46.0333,-3.25,96,100,4.35,GL,2023-01-24 05:53:15
389,salta,-24.7859,-65.4117,19.76,85,0,0.51,AR,2023-01-24 05:52:21
390,calabozo,8.9242,-67.4293,26.01,61,100,3.88,VE,2023-01-24 05:53:16
391,sao filipe,14.8961,-24.4956,20.81,65,2,3.47,CV,2023-01-24 05:53:16
392,port pirie,-33.1833,138.0167,26.18,51,0,8.11,AU,2023-01-24 05:53:16
393,poum,-20.2333,164.0167,26.8,76,100,1.95,NC,2023-01-24 05:53:16
394,champerico,14.3,-91.9167,24.58,77,12,2.23,GT,2023-01-24 05:53:17
395,tairua,-37.0167,175.85,19.36,74,98,3.77,NZ,2023-01-24 05:53:17
396,progreso,21.2833,-89.6667,23.95,83,22,5.36,MX,2023-01-24 05:53:17
397,freeport,40.6576,-73.5832,2.79,66,100,9.26,US,2023-01-24 05:48:40
398,henties bay,-22.116,14.2845,18.26,85,99,6.16,NA,2023-01-24 05:53:18
399,san cristobal,7.7669,-72.225,22.1,79,84,1.58,VE,2023-01-24 05:53:18
400,naranjal,-2.6667,-79.6167,24.24,88,98,1.14,EC,2023-01-24 05:53:18
401,cortes,41.9395,-1.4396,0.6,77,57,6.99,ES,2023-01-24 05:53:18
402,deputatskiy,69.3,139.9,-35.57,99,97,1.09,RU,2023-01-24 05:53:19
403,katsuura,35.1333,140.3,11.01,51,100,13.47,JP,2023-01-24 05:53:19
404,semey,50.4111,80.2275,-10.88,85,0,2.0,KZ,2023-01-24 05:53:19
405,kayes,14.0,-11.0,24.19,18,4,1.4,ML,2023-01-24 05:53:20
406,ntcheu,-14.8203,34.6359,17.46,97,100,2.61,MW,2023-01-24 05:53:20
407,gimli,50.6336,-96.9907,-14.99,78,92,2.06,CA,2023-01-24 05:53:20
408,soe,-9.8607,124.284,23.6,77,99,2.59,ID,2023-01-24 05:53:20
409,pavullo nel frignano,44.3315,10.835,1.67,93,99,1.0,IT,2023-01-24 05:53:21
410,springfield,37.2153,-93.2982,-0.01,89,98,2.39,US,2023-01-24 05:53:21
411,la union,-5.4,-80.75,22.65,70,42,2.94,PE,2023-01-24 05:53:21
412,yuci,37.6803,112.7319,-10.14,17,0,4.0,CN,2023-01-24 05:53:22
413,namibe,-15.1961,12.1522,23.4,84,98,0.36,AO,2023-01-24 05:53:22
414,camocim,-2.9022,-40.8411,24.53,86,42,1.44,BR,2023-01-24 05:53:22
415,tuy hoa,13.0833,109.3,23.37,89,91,8.19,VN,2023-01-24 05:53:23
416,muzhi,65.3667,64.6667,-5.76,91,100,2.53,RU,2023-01-24 05:53:23
417,vieira de leiria,39.8695,-8.9324,3.6,93,0,1.03,PT,2023-01-24 05:53:23
418,zlitan,32.4674,14.5687,12.98,75,6,3.66,LY,2023-01-24 05:53:24
